"table_catalog","table_schema","table_name","table_type","self_referencing_column_name","reference_generation","user_defined_type_catalog","user_defined_type_schema","user_defined_type_name","is_insertable_into","is_typed","commit_action"
"orders-db","information_schema","information_schema_catalog_name","VIEW","","","","","","NO","NO",""
"orders-db","information_schema","applicable_roles","VIEW","","","","","","NO","NO",""
"orders-db","information_schema","administrable_role_authorizations","VIEW","","","","","","NO","NO",""
"orders-db","information_schema","column_privileges","VIEW","","","","","","NO","NO",""
"orders-db","information_schema","attributes","VIEW","","","","","","NO","NO",""
"orders-db","information_schema","character_sets","VIEW","","","","","","NO","NO",""
"orders-db","information_schema","check_constraint_routine_usage","VIEW","","","","","","NO","NO",""
"orders-db","information_schema","column_udt_usage","VIEW","","","","","","NO","NO",""
"orders-db","information_schema","check_constraints","VIEW","","","","","","NO","NO",""
"orders-db","information_schema","domain_udt_usage","VIEW","","","","","","NO","NO",""
"orders-db","information_schema","collations","VIEW","","","","","","NO","NO",""
"orders-db","information_schema","collation_character_set_applicability","VIEW","","","","","","NO","NO",""
"orders-db","information_schema","columns","VIEW","","","","","","NO","NO",""
"orders-db","information_schema","column_column_usage","VIEW","","","","","","NO","NO",""
"orders-db","information_schema","column_domain_usage","VIEW","","","","","","NO","NO",""
"orders-db","information_schema","constraint_column_usage","VIEW","","","","","","NO","NO",""
"orders-db","information_schema","constraint_table_usage","VIEW","","","","","","NO","NO",""
"orders-db","information_schema","domains","VIEW","","","","","","NO","NO",""
"orders-db","information_schema","domain_constraints","VIEW","","","","","","NO","NO",""
"orders-db","information_schema","parameters","VIEW","","","","","","NO","NO",""
"orders-db","information_schema","enabled_roles","VIEW","","","","","","NO","NO",""
"orders-db","information_schema","key_column_usage","VIEW","","","","","","NO","NO",""
"orders-db","information_schema","referential_constraints","VIEW","","","","","","NO","NO",""
"orders-db","information_schema","role_column_grants","VIEW","","","","","","NO","NO",""
"orders-db","information_schema","role_routine_grants","VIEW","","","","","","NO","NO",""
"orders-db","information_schema","routine_column_usage","VIEW","","","","","","NO","NO",""
"orders-db","information_schema","routine_privileges","VIEW","","","","","","NO","NO",""
"orders-db","information_schema","routine_routine_usage","VIEW","","","","","","NO","NO",""
"orders-db","information_schema","routine_sequence_usage","VIEW","","","","","","NO","NO",""
"orders-db","information_schema","routine_table_usage","VIEW","","","","","","NO","NO",""
"orders-db","information_schema","role_table_grants","VIEW","","","","","","NO","NO",""
"orders-db","information_schema","routines","VIEW","","","","","","NO","NO",""
"orders-db","information_schema","schemata","VIEW","","","","","","NO","NO",""
"orders-db","information_schema","sequences","VIEW","","","","","","NO","NO",""
"orders-db","information_schema","tables","VIEW","","","","","","NO","NO",""
"orders-db","information_schema","sql_features","BASE TABLE","","","","","","YES","NO",""
"orders-db","information_schema","role_udt_grants","VIEW","","","","","","NO","NO",""
"orders-db","information_schema","sql_implementation_info","BASE TABLE","","","","","","YES","NO",""
"orders-db","information_schema","sql_parts","BASE TABLE","","","","","","YES","NO",""
"orders-db","information_schema","sql_sizing","BASE TABLE","","","","","","YES","NO",""
"orders-db","information_schema","transforms","VIEW","","","","","","NO","NO",""
"orders-db","information_schema","table_constraints","VIEW","","","","","","NO","NO",""
"orders-db","information_schema","table_privileges","VIEW","","","","","","NO","NO",""
"orders-db","information_schema","triggered_update_columns","VIEW","","","","","","NO","NO",""
"orders-db","information_schema","triggers","VIEW","","","","","","NO","NO",""
"orders-db","information_schema","usage_privileges","VIEW","","","","","","NO","NO",""
"orders-db","information_schema","udt_privileges","VIEW","","","","","","NO","NO",""
"orders-db","information_schema","view_column_usage","VIEW","","","","","","NO","NO",""
"orders-db","information_schema","role_usage_grants","VIEW","","","","","","NO","NO",""
"orders-db","information_schema","view_table_usage","VIEW","","","","","","NO","NO",""
"orders-db","information_schema","user_defined_types","VIEW","","","","","","NO","NO",""
"orders-db","information_schema","view_routine_usage","VIEW","","","","","","NO","NO",""
"orders-db","information_schema","data_type_privileges","VIEW","","","","","","NO","NO",""
"orders-db","information_schema","views","VIEW","","","","","","NO","NO",""
"orders-db","information_schema","element_types","VIEW","","","","","","NO","NO",""
"orders-db","information_schema","_pg_foreign_table_columns","VIEW","","","","","","NO","NO",""
"orders-db","information_schema","column_options","VIEW","","","","","","NO","NO",""
"orders-db","information_schema","_pg_foreign_data_wrappers","VIEW","","","","","","NO","NO",""
"orders-db","information_schema","foreign_data_wrapper_options","VIEW","","","","","","NO","NO",""
"orders-db","information_schema","foreign_data_wrappers","VIEW","","","","","","NO","NO",""
"orders-db","information_schema","_pg_foreign_servers","VIEW","","","","","","NO","NO",""
"orders-db","information_schema","foreign_server_options","VIEW","","","","","","NO","NO",""
"orders-db","information_schema","foreign_servers","VIEW","","","","","","NO","NO",""
"orders-db","information_schema","_pg_foreign_tables","VIEW","","","","","","NO","NO",""
"orders-db","information_schema","foreign_table_options","VIEW","","","","","","NO","NO",""
"orders-db","information_schema","foreign_tables","VIEW","","","","","","NO","NO",""
"orders-db","information_schema","_pg_user_mappings","VIEW","","","","","","NO","NO",""
"orders-db","information_schema","user_mapping_options","VIEW","","","","","","NO","NO",""
"orders-db","information_schema","user_mappings","VIEW","","","","","","NO","NO",""
